state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2001-11-30,108110.3850759718,4,23,state,,6.658,177.5,5.5,70610.0,0.005548333333333333,86488.30806077745,663.7930041685199,5884.166666666667,8.864460200265727
Alabama,2001-12-31,108359.8278010675,4,23,state,,7.065,177.4,5.7,70610.0,0.0058875,86687.86224085401,688.885541780008,5884.166666666667,8.541573759063947
Alabama,2002-01-31,108507.18260770391,4,23,state,,6.9975,177.7,5.7,70040.0,0.00583125,86805.74608616314,685.8822385153125,5836.666666666667,8.509721259586696
Alabama,2002-02-28,108666.32803857786,4,23,state,,6.8925,178.0,5.7,70040.0,0.00574375,86933.0624308623,680.7715572410268,5836.666666666667,8.573605352022952
Alabama,2002-03-31,108800.366998658,4,23,state,,7.014,178.5,5.7,70040.0,0.005845,87040.29359892641,688.7002267181372,5836.666666666667,8.474901619359313
Alabama,2002-04-30,108952.1373371047,4,23,state,,6.985,179.3,5.9,70040.0,0.005820833333333334,87161.70986968376,687.9633711965929,5836.666666666667,8.48397881491103
Alabama,2002-05-31,109145.3424379645,4,23,state,,6.806,179.5,5.8,70040.0,0.005671666666666666,87316.2739503716,678.7311442953858,5836.666666666667,8.599379468177952
Alabama,2002-06-30,109385.76763397356,4,23,state,,6.65,179.6,5.8,70040.0,0.005541666666666667,87508.61410717886,671.1603302164783,5836.666666666667,8.69638207726623
Alabama,2002-07-31,109665.2316255696,4,23,state,,6.485,180.0,5.8,70040.0,0.005404166666666667,87732.18530045569,663.3271474783394,5836.666666666667,8.799077029871238
Alabama,2002-08-31,109916.4716346238,4,23,state,,6.29,180.5,5.7,70040.0,0.005241666666666666,87933.17730769905,653.6258469770545,5836.666666666667,8.92967543076913
Alabama,2002-09-30,110183.18286757285,4,23,state,,6.0925,180.8,5.7,70040.0,0.005077083333333334,88146.54629405828,643.919708990405,5836.666666666667,9.064277091033471
Alabama,2002-10-31,110449.71871262226,4,23,state,,6.1125,181.2,5.7,70040.0,0.00509375,88359.77497009782,646.618979513177,5836.666666666667,9.026438832743427
Alabama,2002-11-30,110731.46144765928,4,23,state,,6.068,181.5,5.9,70040.0,0.005056666666666667,88585.16915812744,645.7232984508449,5836.666666666667,9.038959381935602
Alabama,2002-12-31,111018.59093353384,4,23,state,,6.0475,181.8,6.0,70040.0,0.005039583333333333,88814.87274682708,646.2239390635664,5836.666666666667,9.031956747260857
Alabama,2003-01-31,111268.10098465276,4,23,state,,5.916,182.6,5.8,70080.0,0.00493,89014.48078772222,640.1571670589434,5840.0,9.122759691702825
Alabama,2003-02-28,111549.53074133304,4,23,state,,5.8425,183.6,5.9,70080.0,0.004868750000000001,89239.62459306644,637.5834382127256,5840.0,9.15958547538608
Alabama,2003-03-31,111837.98222176405,4,23,state,,5.745,183.9,5.9,70080.0,0.0047875,89470.38577741124,633.6787170355435,5840.0,9.2160267387873
Alabama,2003-04-30,112194.18024992324,4,23,state,,5.8125,183.2,6.0,70080.0,0.00484375,89755.3441999386,639.5510681608748,5840.0,9.131405279008911
Alabama,2003-05-31,112511.20078619558,4,23,state,,5.484,182.9,6.1,70080.0,0.00457,90008.96062895647,622.6689789026753,5840.0,9.3789801610027
Alabama,2003-06-30,112798.39825211944,4,23,state,,5.23,183.1,6.3,70080.0,0.004358333333333334,90238.71860169555,609.9826921241694,5840.0,9.574042141528825
Alabama,2003-07-31,113070.54942633556,4,23,state,,5.6325,183.7,6.2,70080.0,0.00469375,90456.43954106845,634.217247199564,5840.0,9.208201173630925
Alabama,2003-08-31,113363.75783282398,4,23,state,,6.264,184.5,6.1,70080.0,0.00522,90691.00626625918,672.5899182077555,5840.0,8.68285390830983
Alabama,2003-09-30,113682.13919759262,4,23,state,,6.1475,185.1,6.1,70080.0,0.005122916666666667,90945.7113580741,667.6018308037252,5840.0,8.747729156118744
Alabama,2003-10-31,113964.74886546229,4,23,state,,5.952,184.9,6.0,70080.0,0.00496,91171.79909236984,657.7753581608765,5840.0,8.878411037361591
Alabama,2003-11-30,114250.429017316,4,23,state,,5.9325,185.0,5.8,70080.0,0.00494375,91400.3432138528,658.281473832786,5840.0,8.871584925513874
Alabama,2003-12-31,114515.8446461358,4,23,state,,5.876,185.5,5.7,70080.0,0.004896666666666667,91612.67571690865,656.49796978165,5840.0,8.895686306451752
Alabama,2004-01-31,114791.23687103222,4,23,state,,5.7125,186.3,5.7,69970.0,0.004760416666666667,91832.98949682579,648.5179652470833,5830.833333333333,8.991012810434333
Alabama,2004-02-29,115052.71754160848,4,23,state,,5.635,186.7,5.6,69970.0,0.004695833333333333,92042.17403328679,645.4806506978894,5830.833333333333,9.033320095697794
Alabama,2004-03-31,115345.59355303952,4,23,state,,5.445,187.1,5.8,69970.0,0.004537500000000001,92276.47484243162,636.1014526189524,5830.833333333333,9.166514727055986
Alabama,2004-04-30,115644.78953669798,4,23,state,,5.83,187.4,5.6,69970.0,0.004858333333333333,92515.83162935839,660.2529732934844,5830.833333333333,8.831211019388338
Alabama,2004-05-31,116013.75311265983,4,23,state,,6.27,188.2,5.6,69970.0,0.005225,92811.00249012787,688.6748589121335,5830.833333333333,8.466743424529858
Alabama,2004-06-30,116475.63931075018,4,23,state,,6.2875,188.9,5.6,69970.0,0.005239583333333333,93180.51144860015,692.4786151489172,5830.833333333333,8.4202359549824
Alabama,2004-07-31,117025.92073215311,4,23,state,,6.056,189.1,5.5,69970.0,0.005046666666666667,93620.7365857225,681.7046409322838,5830.833333333333,8.553313243341305
Alabama,2004-08-31,117549.41021824715,4,23,state,,5.8675,189.2,5.4,69970.0,0.0048895833333333335,94039.52817459773,673.378047326707,5830.833333333333,8.659078442609745
Alabama,2004-09-30,118029.92332147685,4,23,state,,5.754,189.8,5.4,69970.0,0.004795,94423.93865718148,669.3023586152452,5830.833333333333,8.711807538519736
Alabama,2004-10-31,118524.20947315362,4,23,state,,5.7225,190.8,5.5,69970.0,0.0047687499999999996,94819.3675785229,670.208946947298,5830.833333333333,8.700023119494167
Alabama,2004-11-30,119112.5465706195,4,23,state,,5.73,191.7,5.4,69970.0,0.004775000000000001,95290.0372564956,673.9892468795789,5830.833333333333,8.651226054909335
Alabama,2004-12-31,119748.12232524536,4,23,state,,5.752,191.7,5.4,69970.0,0.004793333333333333,95798.4978601963,678.923873012163,5830.833333333333,8.588346300836108
Alabama,2005-01-31,120294.25547500966,4,23,state,,5.71,191.6,5.3,71060.0,0.004758333333333333,96235.40438000773,679.4549552821477,5921.666666666667,8.71531897829439
Alabama,2005-02-28,120723.86770142836,4,23,state,,5.6275,192.4,5.4,71060.0,0.004689583333333334,96579.0941611427,676.8400587144916,5921.666666666667,8.748989647441327
Alabama,2005-03-31,121046.59334427446,4,23,state,,5.928,193.1,5.2,71060.0,0.00494,96837.27467541957,697.1599770547476,5921.666666666667,8.493985400142444
Alabama,2005-04-30,121375.85642134916,4,23,state,,5.855,193.7,5.2,71060.0,0.004879166666666667,97100.68513707933,694.5225028704226,5921.666666666667,8.526241615200012
Alabama,2005-05-31,121735.27553939726,4,23,state,,5.72,193.6,5.1,71060.0,0.0047666666666666664,97388.22043151781,688.2118437206761,5921.666666666667,8.604424234625768
Alabama,2005-06-30,122177.7318424888,4,23,state,,5.582,193.7,5.0,71060.0,0.004651666666666667,97742.18547399105,682.1861620108479,5921.666666666667,8.680426247890532
Alabama,2005-07-31,122687.50323602236,4,23,state,,5.695,194.9,5.0,71060.0,0.004745833333333334,98150.0025888179,692.0395839711846,5921.666666666667,8.556832302403725
Alabama,2005-08-31,123225.32046139357,4,23,state,,5.82,196.1,4.9,71060.0,0.00485,98580.25636911485,702.9041136310589,5921.666666666667,8.4245725011859
Alabama,2005-09-30,123780.59292617616,4,23,state,,5.774,198.8,5.0,71060.0,0.004811666666666666,99024.47434094094,703.1711865500884,5921.666666666667,8.42137274668443
Alabama,2005-10-31,124433.66646551975,4,23,state,,6.065,199.1,5.0,71060.0,0.005054166666666667,99546.93317241581,725.4342132945242,5921.666666666667,8.16292719332013
Alabama,2005-11-30,125241.7007458602,4,23,state,,6.33,198.1,5.0,71060.0,0.005274999999999999,100193.36059668817,747.3719963727842,5921.666666666667,7.923318903312212
Alabama,2005-12-31,126137.38612256185,4,23,state,,6.272,198.1,4.9,71060.0,0.005226666666666667,100909.90889804949,748.9016319696864,5921.666666666667,7.907135481988589
Alabama,2006-01-31,127048.63612734534,4,23,state,,6.145,199.3,4.7,71850.0,0.005120833333333333,101638.90890187628,745.9325124255524,5987.5,8.02686556794584
Alabama,2006-02-28,127954.44793826342,4,23,state,,6.2525,199.4,4.8,71850.0,0.005210416666666666,102363.55835061074,758.390931764669,5987.5,7.895004738608794
Alabama,2006-03-31,128954.18093653308,4,23,state,,6.324,199.7,4.7,71850.0,0.00527,103163.34474922647,769.1220167600189,5987.5,7.784850608259491
Alabama,2006-04-30,130014.71663609892,4,23,state,,6.5075,200.7,4.7,71850.0,0.005422916666666667,104011.77330887914,787.9529858667707,5987.5,7.598803618230572
Alabama,2006-05-31,131063.68069680156,4,23,state,,6.5975,201.3,4.6,71850.0,0.0054979166666666674,104850.94455744125,800.5303572869589,5987.5,7.479416546165676
Alabama,2006-06-30,132068.31134232238,4,23,state,,6.682,201.8,4.6,71850.0,0.005568333333333334,105654.64907385792,812.573476705961,5987.5,7.36856440881179
Alabama,2006-07-31,133002.77251446992,4,23,state,,6.7625,202.9,4.7,71850.0,0.005635416666666667,106402.21801157594,824.009864120272,5987.5,7.266296510166616
Alabama,2006-08-31,133966.24851977444,4,23,state,,6.523999999999999,203.8,4.7,71850.0,0.005436666666666666,107172.99881581956,813.064965811972,5987.5,7.364110190162417
Alabama,2006-09-30,134806.03368289178,4,23,state,,6.4025,202.8,4.5,71850.0,0.005335416666666666,107844.82694631343,809.558341900888,5987.5,7.396008033146836
Alabama,2006-10-31,135552.5826156028,4,23,state,,6.3575,201.9,4.4,71850.0,0.005297916666666666,108442.06609248224,810.8492762795124,5987.5,7.3842330198195985
Alabama,2006-11-30,136018.1091582441,4,23,state,,6.24,202.0,4.5,71850.0,0.005200000000000001,108814.48732659529,805.3000741580748,5987.5,7.435116662890925
Alabama,2006-12-31,136371.2411799095,4,23,state,,6.135,203.1,4.4,71850.0,0.0051125,109096.9929439276,799.961734565083,5987.5,7.484733008204746
Alabama,2007-01-31,136572.94854737396,4,23,state,,6.2175,203.437,4.6,73010.0,0.00518125,109258.35883789917,806.9877178442491,6084.166666666667,7.539354728867049
Alabama,2007-02-28,137026.44548790285,4,23,state,,6.285,204.226,4.5,73010.0,0.0052375,109621.15639032229,814.4800854345062,6084.166666666667,7.470000526066767
Alabama,2007-03-31,137580.19651709782,4,23,state,,6.156000000000001,205.288,4.4,73010.0,0.00513,110064.15721367826,808.5496414782044,6084.166666666667,7.524790507041087
Alabama,2007-04-30,138291.0730739544,4,23,state,,6.18,205.904,4.5,73010.0,0.005149999999999999,110632.85845916353,814.4478606585243,6084.166666666667,7.47029608715197
Alabama,2007-05-31,138721.35015494074,4,23,state,,6.2620000000000005,206.755,4.4,73010.0,0.005218333333333334,110977.08012395259,822.8926869551332,6084.166666666667,7.393633171269628
Alabama,2007-06-30,139004.38532324895,4,23,state,,6.657500000000001,207.234,4.6,73010.0,0.005547916666666667,111203.50825859916,853.4439894823089,6084.166666666667,7.128958363579624
Alabama,2007-07-31,139099.33457970808,4,23,state,,6.695,207.603,4.7,73010.0,0.005579166666666667,111279.46766376647,856.7922009405595,6084.166666666667,7.10109949645627
Alabama,2007-08-31,139226.93818051476,4,23,state,,6.572,207.667,4.6,73010.0,0.005476666666666667,111381.55054441182,848.5163724650972,6084.166666666667,7.170358597785256
Alabama,2007-09-30,139329.0174302469,4,23,state,,6.3825,208.547,4.7,73010.0,0.0053187500000000006,111463.21394419752,835.2613100246717,6084.166666666667,7.2841475998534575
Alabama,2007-10-31,139419.56072800976,4,23,state,,6.375,209.19,4.7,73010.0,0.0053125,111535.64858240781,835.2568986975026,6084.166666666667,7.284186070362663
